Array,Background,Genotype,biol_rep,label_rep
A1,Ore,wt,1,a
B1,Sam,wt,1,a
C1,Ore,sd,1,a
D1,Sam,sd,1,a
E1,Ore,wt,1,b
F1,Sam,wt,1,b
G1,Ore,sd,1,b
H1,Sam,sd,1,b
A2,Sam,wt,2,a
B2,Ore,wt,2,a
C2,Sam,sd,2,a
D2,Ore,sd,2,a
E2,Sam,wt,2,b
F2,Ore,wt,2,b
G2,Sam,sd,2,b
H2,Ore,sd,2,b
