heph,heph-PA-990,34
pex1,pex1-PA-1618,1
CG9663,CG9663-PA-2316,6
ligatin,ligatin-PA-174,1
CG31716,CG31716-PA-3120,155
Mtor,Mtor-PA-1525,3
mts,mts-PA-582,129
CG8611,CG8611-PA-2550,86
CG7433,CG7433-PA-616,2
CG8552,CG8552-PA-4647,2
D19B,D19B-PA-1130,2
Sap-r,Sap-r-PA-627,3
Pepck,Pepck-PA-1776,49
ns3,ns3-PA-300,1
CG9018,CG9018-PB-1002,101
CG7607,CG7607-PA-267,2
CG3338,CG3338-PA-1377,17
poe,poe-PA-11861,1
CG30069,CG30069-PA-11836,52
CG13585,CG13585-PA-207,105
PPP4R2r,PPP4R2r-PA-1168,82
l(1)G0334,l(1)G0334-PA-762,1
Vps26,Vps26-PA-901,156
CG15822,CG15822-PB-1196,1
CG42233,CG42233-PB-2299,2
poe,poe-PA-15481,2
Pgd,Pgd-PA-1011,31
Pgd,Pgd-PA-1017,47
blos1,blos1-PB-312,74
Karybeta3,Karybeta3-PA-2999,101
CG17082,CG17082-PA-1312,200
RhoGEF2,RhoGEF2-PD-6640,2
CG14618,CG14618-PA-787,1
CG10809,CG10809-PA-924,17
Rbcn-3A,Rbcn-3A-PB-10129,46
slpr,slpr-PA-3312,31
Elp2,Elp2-PA-1996,8
Rbcn-3A,Rbcn-3A-PB-10123,32
pod1,pod1-PA-2082,1
CG18327,CG18327-PA-324,8
CG8605,CG8605-PA-476,1
arm,arm-PA-1734,10
SdhA,SdhA-PA-1152,2
l(2)k14505,l(2)k14505-PA-736,124
jbug,jbug-PC-424,44
Prp8,Prp8-PA-2249,2
CG15523,CG15523-PA-6365,4
Wsck,Wsck-PA-1839,1
Drip,Drip-PA-55,8
pum,pum-PA-1038,1
CG4766,CG4766-PA-669,6
D19B,D19B-PA-1794,35
CG8108,CG8108-PA-2087,1
CG8080,CG8080-PA-675,2
BCL7-like,BCL7-like-PA-123,10
Rrp6,Rrp6-PB-1551,33
CG6163,CG6163-PA-1096,1
zip,zip-PA-3837,2
Pms2,Pms2-PA-97,1
Sip1,Sip1-PA-501,108
hgo,hgo-PA-1111,2
CG17724,CG17724-PA-351,1
pck,pck-PA-337,2
Art9,Art9-PA-736,1
pck,pck-PA-330,1
mor,mor-PA-1413,4
Syx1A,Syx1A-PA-715,2
cic,cic-PA-2680,2
Pros26,Pros26-PA-273,76
CG3726,CG3726-PA-1189,10
Ddx1,Ddx1-PA-1996,2
bsk,bsk-PB-591,89
l(3)neo18,l(3)neo18-PA-121,488
mof,mof-PA-1053,2
IntS12,IntS12-PA-627,5
CG4658,CG4658-PA-1063,5
CG17219,CG17219-PA-908,2
HLHm3,HLHm3-PA-142,5
Strn-Mlck,Strn-Mlck-PB-2175,7
CG15431,CG15431-PA-660,2
scaf6,scaf6-PA-2382,107
CG12259,CG12259-PA-943,83
CG30338,CG30338-PA-352,1
mtm,mtm-PA-1706,1
CG12432,CG12432-PA-547,2
SA,SA-PA-1264,1
CG3045,CG3045-PA-1362,19
CDase,CDase-PA-1638,7
CG10321,CG10321-PA-2279,3
Srp9,Srp9-PA-165,3
CG8801,CG8801-PA-1594,1
CG32795,CG32795-PA-942,44
in,in-PA-1770,19
sro,sro-PA-153,2
car,car-PA-1275,1
cni,cni-PA-63,1
yu,yu-PA-1092,1
Capr,Capr-PA-1268,1
CG9362,CG9362-PA-217,11
Skeletor,Skeletor-PD-1626,17
CG6424,CG6424-PA-1265,1
mbl,mbl-PH-2289,1
Cpsf73,Cpsf73-PA-27,1
PTP-ER,PTP-ER-PA-1890,1
drl,drl-PA-1735,2
Dref,Dref-PA-783,13
CG3590,CG3590-PA-1234,107
CG1815,CG1815-PA-1668,1
CG3529,CG3529-PB-114,2
CG3016,CG3016-PA-996,11
CG8950,CG8950-PA-2190,1
Ranbp9,Ranbp9-PA-2103,4
vls,vls-PA-1069,157
CG3281,CG3281-PA-1101,5
Cka,Cka-PA-2131,82
14-3-3zeta,14-3-3zeta-PA-643,107
CG3493,CG3493-PA-3348,1
Pif1A,Pif1A-PC-692,1
CG7488,CG7488-PA-344,13
inaC,inaC-PA-1286,1
CHES-1-like,CHES-1-like-PA-2638,1
Gp150,Gp150-PA-1029,5
CG5746,CG5746-PA-124,149
Top2,Top2-PA-1554,3
mod(mdg4),mod(mdg4)-PP-1338,113
CG12121,CG12121-PA-1299,9
ASPP,ASPP-PA-1683,26
Fur1,Fur1-PA-2701,2
CG2931,CG2931-PA-765,33
beat-Vb,beat-Vb-PA-382,1
CG10672,CG10672-PA-382,19
CG34420,CG34420-PC-1275,1
CG12262,CG12262-PA-1230,54
pcm,pcm-PA-1078,2
CG15432,CG15432-PA-249,74
Cand1,Cand1-PA-762,1
Rpn2,Rpn2-PA-2334,15
Vm26Aa,Vm26Aa-PA-278,1
Psc,Psc-PA-2527,2
CG42574,CG42574-PA-9103,7
CG8321,CG8321-PA-600,5
pll,pll-PA-1378,1
CG4729,CG4729-PA-1086,36
fry,fry-PB-9289,5
Hexo2,Hexo2-PA-1457,3
tty,tty-PA-1497,1
CG8492,CG8492-PD-2900,1
Ptpa,Ptpa-PA-798,1
lsn,lsn-PA-517,12
CG9150,CG9150-PB-58,1
Aats-asp,Aats-asp-PA-1543,3
dah,dah-PA-1545,3
Hrb27C,Hrb27C-PA-364,2
CG6750,CG6750-PA-606,10
p115,p115-PA-1796,8
CG31495,CG31495-PA-172,1
Kmn1,Kmn1-PA-298,9
Pitslre,Pitslre-PA-2388,73
Msr-110,Msr-110-PA-1008,7
CG2182,CG2182-PA-86,1
eIF3-S9,eIF3-S9-PA-1147,7
melt,melt-PB-1831,3
Aats-ser,Aats-ser-PA-393,1
Got2,Got2-PA-822,3
CG2118,CG2118-PA-576,117
Vap-33-1,Vap-33-1-PA-294,35
sim,sim-PA-966,1
disp,disp-PA-1357,1
CG31301,CG31301-PA-225,3
CG10286,CG10286-PA-1344,3
hth,hth-PA-1311,17
CG13531,CG13531-PB-3336,3
CG17598,CG17598-PA-928,1
PEK,PEK-PA-1738,1
CG3702,CG3702-PA-1527,31
CG6443,CG6443-PA-534,25
barr,barr-PA-72,4
CG6729,CG6729-PA-1059,1
Oda,Oda-PA-429,2
CG14303,CG14303-PA-4466,1
GlyP,GlyP-PA-1686,34
Liprin-alpha,Liprin-alpha-PA-2805,1
CG33687,CG33687-PA-440,18
CG15011,CG15011-PA-1217,1
Top3beta,Top3beta-PA-1293,4
CG9117,CG9117-PA-616,20
CG4390,CG4390-PA-87,27
CG2144,CG2144-PA-2613,2
bif,bif-PB-3345,625
Fas2,Fas2-PA-1543,69
Dbp45A,Dbp45A-PA-47,1
Syx13,Syx13-PA-141,4
CG12163,CG12163-PA-1539,615
CG6357,CG6357-PA-1025,18
Nap1,Nap1-PA-91,43
CG6254,CG6254-PA-759,4
mus205,mus205-PA-5859,4
CG31871,CG31871-PA-1509,1
CG7956,CG7956-PA-2587,8
YT521-B,YT521-B-PA-1581,2
CG9883,CG9883-PA-291,3
CG10959,CG10959-PA-460,9
Aldh-III,Aldh-III-PE-990,60
Hmgs,Hmgs-PA-1267,21
CG32022,CG32022-PA-306,5
rtet,rtet-PA-1185,54
spd-2,spd-2-PA-592,2
CG12581,CG12581-PA-1925,3
CG33639,CG33639-PA-853,2
Mal-A5,Mal-A5-PA-85,1
CG4293,CG4293-PA-539,1
CG1785,CG1785-PA-805,1
l(3)neo38,l(3)neo38-PB-134,1
IntS2,IntS2-PA-2841,4
CG2116,CG2116-PA-709,2
vn,vn-PA-1239,4
CG8494,CG8494-PA-2039,26
CG7766,CG7766-PA-3663,24
alpha-Spec,alpha-Spec-PA-6241,1
CG7896,CG7896-PA-3798,14
l(1)G0320,l(1)G0320-PA-357,14
alpha-Man-II,alpha-Man-II-PA-1453,2
fsd,fsd-PA-210,2
Msp-300,Msp-300-PE-1137,3
cno,cno-PC-5077,5
Best1,Best1-PA-1512,13
CG13605,CG13605-PB-1387,1
ppan,ppan-PA-834,12
CG8468,CG8468-PA-1479,8
CG12818,CG12818-PA-702,19
Nmdmc,Nmdmc-PA-399,2
PDCD-5,PDCD-5-PA-240,42
CG7706,CG7706-PA-1329,1
nAcRalpha-96Ab,nAcRalpha-96Ab-PA-418,1
CG18324,CG18324-PB-139,14
CG14416,CG14416-PA-349,117
Vinc,Vinc-PA-2359,17
CG11137,CG11137-PA-213,4
PCID2,PCID2-PA-1011,7
Ripalpha,Ripalpha-PA-35,4
eIF-3p40,eIF-3p40-PA-272,4
Gfat2,Gfat2-PA-1681,4
unc79,unc79-PB-6679,1
jing,jing-PD-3419,2
CG4670,CG4670-PA-666,6
CG6163,CG6163-PA-1079,2
Roc2,Roc2-PA-247,2
Aats-lys,Aats-lys-PA-1597,5
Nnp-1,Nnp-1-PA-1873,4
Os-C,Os-C-PB-12,4
CG6659,CG6659-PA-1248,1
ImpL2,ImpL2-PA-19,260
viaf,viaf-PA-423,1149
Pde9,Pde9-PB-1578,15
CG3332,CG3332-PA-1834,1
mRpL48,mRpL48-PA-513,95
CG5514,CG5514-PA-969,1
mRpS34,mRpS34-PA-117,15
CG17760,CG17760-PB-898,2
CG10068,CG10068-PA-681,5
CG3107,CG3107-PA-1897,35
Hsc70-2,Hsc70-2-PA-1629,3
lin,lin-PA-2427,145
Ten-a,Ten-a-PD-8476,1
CG4030,CG4030-PA-1734,148
fabp,fabp-PB-40,1
CG32251,CG32251-PA-2516,11
CG14435,CG14435-PA-511,1
CG32767,CG32767-PC-205,3
Vha68-3,Vha68-3-PA-2146,1
CG2906,CG2906-PD-1069,2
CG9870,CG9870-PA-814,4
CG7852,CG7852-PA-2193,9
Mcm3,Mcm3-PA-1300,1
CG31638,CG31638-PA-1071,9
Aats-tyr,Aats-tyr-PA-636,58
tun,tun-PA-519,1
CG5792,CG5792-PD-1953,1
dia,dia-PA-1755,1
eIF2B-alpha,eIF2B-alpha-PA-97,1
jar,jar-PB-2133,1
Tsp5D,Tsp5D-PA-171,1
CG7564,CG7564-PA-394,5
trn,trn-PA-1883,1
Flo-2,Flo-2-PA-642,1
CG4332,CG4332-PA-1503,76
mRpL17,mRpL17-PA-203,2
cora,cora-PA-4198,1
Nrt,Nrt-PA-2373,63
CG4041,CG4041-PB-2209,97
l(1)G0289,l(1)G0289-PA-1068,1
CG16833,CG16833-PD-2650,362
CG17922,CG17922-PA-3102,2
CG3492,CG3492-PA-1125,450
LpR2,LpR2-PA-1679,4
CG2249,CG2249-PA-47,16
Trip1,Trip1-PA-726,6
CG9305,CG9305-PA-1989,157
CG9961,CG9961-PA-1023,1
rho-7,rho-7-PA-6,5
Dp1,Dp1-PA-1212,2
cwo,cwo-PA-537,2
CG30183,CG30183-PA-4123,1
CG42672,CG42672-PD-3024,4
CG5548,CG5548-PA-288,45
WRNexo,WRNexo-PA-457,1
