heph,heph-PA-990,77
CG9663,CG9663-PA-2316,4
ligatin,ligatin-PA-174,6
sowah,sowah-PD-45,9
CG31716,CG31716-PA-3120,99
mts,mts-PA-582,156
CG8611,CG8611-PA-2550,156
CG7433,CG7433-PA-616,4
Mdr49,Mdr49-PA-2689,15
CG11307,CG11307-PA-927,3
CG42506,CG42506-PA-31,1
CG6108,CG6108-PA-2096,1
D19B,D19B-PA-1130,3
Pepck,Pepck-PA-1776,69
CG9018,CG9018-PB-1002,123
CG7607,CG7607-PA-267,3
CG3338,CG3338-PA-1377,17
CG30069,CG30069-PA-11836,97
CG13160,CG13160-PA-1962,1
CG13585,CG13585-PA-207,74
PPP4R2r,PPP4R2r-PA-1168,138
CG10011,CG10011-PA-1595,1
MCPH1,MCPH1-PA-2323,1
Vps26,Vps26-PA-901,223
CG42233,CG42233-PB-2299,6
poe,poe-PA-15481,1
Pgd,Pgd-PA-1011,48
Pgd,Pgd-PA-1017,69
blos1,blos1-PB-312,54
Gdh,Gdh-PA-1072,3
Karybeta3,Karybeta3-PA-2999,167
CG11703,CG11703-PA-339,1
CG17082,CG17082-PA-1312,152
RhoGEF2,RhoGEF2-PD-6640,11
CG10809,CG10809-PA-924,19
chas,chas-PA-1333,1
Rbcn-3A,Rbcn-3A-PB-10129,107
slpr,slpr-PA-3312,90
Elp2,Elp2-PA-1996,5
Rbcn-3A,Rbcn-3A-PB-10123,23
CG42724,CG42724-PC-391,7
pod1,pod1-PA-2082,4
CG18327,CG18327-PA-324,12
arm,arm-PA-1734,34
SdhA,SdhA-PA-1152,2
l(2)k14505,l(2)k14505-PA-736,103
jbug,jbug-PC-424,32
Prp8,Prp8-PA-2249,7
Drip,Drip-PA-55,8
CG4766,CG4766-PA-669,2
D19B,D19B-PA-1794,27
Tsp26A,Tsp26A-PB-240,2
CG8080,CG8080-PA-675,7
pont,pont-PA-1093,1
BCL7-like,BCL7-like-PA-123,11
Rrp6,Rrp6-PB-1551,31
zip,zip-PA-3837,14
ATPsyn-gamma,ATPsyn-gamma-PA-765,539
hgo,hgo-PA-1111,2
pck,pck-PA-337,1
pck,pck-PA-330,7
mor,mor-PA-1413,14
Syx1A,Syx1A-PA-715,5
cic,cic-PA-2680,2
Pros26,Pros26-PA-273,72
CG3726,CG3726-PA-1189,5
Ddx1,Ddx1-PA-1996,5
bsk,bsk-PB-591,78
l(3)neo18,l(3)neo18-PA-121,519
IntS12,IntS12-PA-627,4
CG2321,CG2321-PA-1393,1
HLHm3,HLHm3-PA-142,5
mop,mop-PA-4947,3
Strn-Mlck,Strn-Mlck-PB-2175,20
CG2116,CG2116-PA-1729,109
CG12259,CG12259-PA-943,85
Dys,Dys-PA-9462,1
mtm,mtm-PA-1706,1
CG30414,CG30414-PA-719,3
SA,SA-PA-1264,6
CG3045,CG3045-PA-1362,32
CDase,CDase-PA-1638,10
Srp9,Srp9-PA-165,12
CG8801,CG8801-PA-1594,5
CG32795,CG32795-PA-942,45
in,in-PA-1770,18
car,car-PA-1275,4
Capr,Capr-PA-1268,4
CG9362,CG9362-PA-217,13
Skeletor,Skeletor-PD-1626,22
hppy,hppy-PA-297,1
PTP-ER,PTP-ER-PA-1890,4
drl,drl-PA-1735,3
Dref,Dref-PA-783,11
CG3590,CG3590-PA-1234,163
Hexo1,Hexo1-PA-977,5
CG8950,CG8950-PA-2190,1
CG14614,CG14614-PA-500,3
Ranbp9,Ranbp9-PA-2103,2
HLH106,HLH106-PA-2647,189
CG3281,CG3281-PA-1101,19
Cka,Cka-PA-2131,116
14-3-3zeta,14-3-3zeta-PA-644,1
14-3-3zeta,14-3-3zeta-PA-643,130
CG7488,CG7488-PA-344,8
repo,repo-PA-1732,1
CG3419,CG3419-PA-1235,1
CG5746,CG5746-PA-124,137
Top2,Top2-PA-1554,5
mod(mdg4),mod(mdg4)-PP-1338,118
Lcch3,Lcch3-PC-972,3
CG12121,CG12121-PA-1299,15
ASPP,ASPP-PA-1683,85
Fur1,Fur1-PA-2701,2
CG2931,CG2931-PA-765,32
CG42495,CG42495-PA-188,14
nudE,nudE-PB-840,35
CG15432,CG15432-PA-249,116
Rpn2,Rpn2-PA-2334,23
CG31469,CG31469-PA-252,9
Psc,Psc-PA-2527,12
CG42574,CG42574-PA-9103,3
CG8321,CG8321-PA-600,10
Rab-RP3,Rab-RP3-PA-627,7
pll,pll-PA-1378,1
CG4729,CG4729-PA-1086,63
fry,fry-PB-9289,7
Ptpa,Ptpa-PA-798,1
lsn,lsn-PA-517,31
CG4955,CG4955-PA-575,1
Aats-asp,Aats-asp-PA-1543,7
mthl7,mthl7-PA-349,1
Aats-asp,Aats-asp-PA-1545,1
dah,dah-PA-1545,2
CG6750,CG6750-PA-606,5
p115,p115-PA-1796,8
CG5921,CG5921-PC-1792,1
Kmn1,Kmn1-PA-298,9
Pitslre,Pitslre-PA-2388,75
Msr-110,Msr-110-PA-1008,10
dco,dco-PA-949,2
melt,melt-PB-1831,4
sls,sls-PA-167,2
Aats-ser,Aats-ser-PA-393,10
Got2,Got2-PA-822,3
CG2118,CG2118-PA-576,176
Vap-33-1,Vap-33-1-PA-294,27
uif,uif-PA-7872,4
CG31301,CG31301-PA-225,1
CG10286,CG10286-PA-1344,3
CG10178,CG10178-PA-430,7
hth,hth-PA-1311,10
CG13531,CG13531-PB-3336,4
CG3702,CG3702-PA-1527,40
CG6443,CG6443-PA-534,13
Oda,Oda-PA-429,6
GlyP,GlyP-PA-1686,28
CG33687,CG33687-PA-440,15
Top3beta,Top3beta-PA-1293,2
CG9117,CG9117-PA-616,44
CG4390,CG4390-PA-87,20
tan,tan-PA-97,1
bif,bif-PB-3345,986
Fas2,Fas2-PA-1543,81
CG3626,CG3626-PA-531,1
Syx13,Syx13-PA-141,5
CG12163,CG12163-PA-1539,615
CG6357,CG6357-PA-1025,43
Nap1,Nap1-PA-91,61
CG6254,CG6254-PA-759,12
mus205,mus205-PA-5859,10
CG7956,CG7956-PA-2587,2
YT521-B,YT521-B-PA-1581,5
CG9883,CG9883-PA-291,2
CG10959,CG10959-PA-460,7
Aldh-III,Aldh-III-PE-990,41
Hmgs,Hmgs-PA-1267,43
CG32022,CG32022-PA-306,3
rtet,rtet-PA-1185,36
spd-2,spd-2-PA-592,1
CG12581,CG12581-PA-1925,1
CG8771,CG8771-PB-4705,1
CG8494,CG8494-PA-2034,2
IntS2,IntS2-PA-2841,10
fdl,fdl-PB-1428,5
CG8494,CG8494-PA-2039,22
CG7766,CG7766-PA-3663,17
alpha-Spec,alpha-Spec-PA-6241,6
CG7896,CG7896-PA-3798,7
CG9850,CG9850-PA-1524,4
l(1)G0320,l(1)G0320-PA-357,27
CG34424,CG34424-PA-346,1
CG31321,CG31321-PB-124,1
fsd,fsd-PA-210,2
kdn,kdn-PA-184,2
Syx13,Syx13-PA-394,2
Best1,Best1-PA-1512,8
CG13605,CG13605-PB-1387,1
ppan,ppan-PA-834,13
CG8468,CG8468-PA-1479,19
CG12818,CG12818-PA-702,7
Hr78,Hr78-PA-1026,6
gek,gek-PA-4012,3
PDCD-5,PDCD-5-PA-240,53
Cep135,Cep135-PA-709,3
m-cup,m-cup-PA-1360,1
MED28,MED28-PA-225,1
CG18324,CG18324-PB-139,28
cno,cno-PC-5073,3
CG14416,CG14416-PA-349,138
Apc2,Apc2-PA-510,1
CG10801,CG10801-PA-282,1
Vinc,Vinc-PA-2359,37
ptc,ptc-PA-3802,1
CG5969,CG5969-PA-117,3
Nup358,Nup358-PA-5937,2
PCID2,PCID2-PA-1011,4
Ripalpha,Ripalpha-PA-35,3
eIF-3p40,eIF-3p40-PA-272,3
Gfat2,Gfat2-PA-1681,3
Snm1,Snm1-PA-176,2
insc,insc-PA-2052,1
Alk,Alk-PA-2953,3
SMC1,SMC1-PA-501,2
unc79,unc79-PB-6679,4
alpha-Spec,alpha-Spec-PA-7117,4
CG4670,CG4670-PA-666,7
Roc2,Roc2-PA-247,8
CG17271,CG17271-PA-462,16
comt,comt-PA-1340,1
Nnp-1,Nnp-1-PA-1873,3
Os-C,Os-C-PB-12,2
CG6659,CG6659-PA-1248,1
ImpL2,ImpL2-PA-19,333
CG33158,CG33158-PB-2532,2
viaf,viaf-PA-423,1480
Mtor,Mtor-PA-628,1
Pde9,Pde9-PB-1578,19
mRpL48,mRpL48-PA-513,98
CG5514,CG5514-PA-969,6
mRpS34,mRpS34-PA-117,12
CG10068,CG10068-PA-681,27
CG3107,CG3107-PA-1897,17
lin,lin-PA-2427,225
CG4030,CG4030-PA-1734,144
CG16812,CG16812-PA-97,1
LRP1,LRP1-PC-11211,2
IntS4,IntS4-PA-1578,1
CG32251,CG32251-PA-2516,22
Vha68-3,Vha68-3-PA-2146,1
CG2906,CG2906-PD-1069,4
CG9870,CG9870-PA-814,5
CG7852,CG7852-PA-2193,1
CHOp24,CHOp24-PA-458,2
CG31638,CG31638-PA-1071,6
Fpps,Fpps-PA-117,1
Aats-tyr,Aats-tyr-PA-636,99
tun,tun-PA-519,4
dia,dia-PA-1755,1
jar,jar-PB-2133,5
Tsp5D,Tsp5D-PA-171,3
arm,arm-PA-2110,1
CG7564,CG7564-PA-394,15
CG7408,CG7408-PB-1174,13
CG10407,CG10407-PA-757,3
CG4332,CG4332-PA-1503,161
Got1,Got1-PA-1036,6
CG3634,CG3634-PA-540,1
mRpL17,mRpL17-PA-203,7
cora,cora-PA-4198,1
Nrt,Nrt-PA-2373,67
Fancl,Fancl-PA-998,1
CG4041,CG4041-PB-2209,79
CG6704,CG6704-PA-65,1
CG1738,CG1738-PA-163,2
CG16833,CG16833-PD-2650,392
Best1,Best1-PA-369,1
CG17922,CG17922-PA-3102,4
CG3492,CG3492-PA-1125,503
CG2249,CG2249-PA-47,12
CG3394,CG3394-PA-951,1
CG9305,CG9305-PA-1989,149
CG6770,CG6770-PA-29,6
rho-7,rho-7-PA-6,1
CG18476,CG18476-PA-970,3
CG3680,CG3680-PA-460,2
Dp1,Dp1-PA-1212,1
cwo,cwo-PA-537,1
CG42672,CG42672-PD-3024,5
CG5548,CG5548-PA-288,54
WRNexo,WRNexo-PA-457,3
CG5604,CG5604-PA-8130,518
JhI-1,JhI-1-PB-1282,21
msl-1,msl-1-PA-2916,43
CD98hc,CD98hc-PA-1612,1110
CG6659,CG6659-PA-2260,27
Pcmt,Pcmt-PA-402,17
alpha4GT1,alpha4GT1-PA-867,10
CG6607,CG6607-PA-606,40
Clp,Clp-PA-754,82
RpL19,RpL19-PA-414,2609
mle,mle-PA-689,1
Cap-G,Cap-G-PF-4003,5
l(2)37Bb,l(2)37Bb-PA-1518,38
CG11737,CG11737-PA-268,2
ko,ko-PA-3030,339
CG8108,CG8108-PA-2087,1
CG42512,CG42512-PA-230,16
SMC1,SMC1-PA-3094,1
d,d-PA-2271,2
crol,crol-PA-1051,2
CG10470,CG10470-PA-444,117
Pk34A,Pk34A-PA-737,1
l(2)35Be,l(2)35Be-PA-582,104
Rpb4,Rpb4-PF-105,57
CG30499,CG30499-PA-453,9
CG12272,CG12272-PA-3381,63
CG5591,CG5591-PA-4057,3
CG1575,CG1575-PA-1621,2
mRNA-cap,mRNA-cap-PA-1900,144
CG11158,CG11158-PA-552,1
Slh,Slh-PC-1219,1
E2f,E2f-PA-1959,31
CG11055,CG11055-PA-2059,22
Pros45,Pros45-PA-684,9
Gadd45,Gadd45-PA-75,21
da,da-PA-278,1
neo,neo-PA-1506,15
CG43164,CG43164-PC-904,107
eRF1,eRF1-PA-82,4
CG9172,CG9172-PA-594,2918
CycT,CycT-PA-1492,2
CG15523,CG15523-PA-10851,16
Lis-1,Lis-1-PA-1012,20
Cad87A,Cad87A-PA-5802,1268
mRpL32,mRpL32-PA-109,29
Pfk,Pfk-PA-1437,1
CG8939,CG8939-PA-1047,251
malpha,malpha-PA-384,163
CG6055,CG6055-PA-109,8
Hs6st,Hs6st-PA-968,3
Uch,Uch-PA-430,88
CG31205,CG31205-PB-584,1
CG16786,CG16786-PA-1907,13
dom,dom-PA-4396,5
ena,ena-PA-1863,88
CG31728,CG31728-PC-631,4
mTTF,mTTF-PA-46,1
CG3803,CG3803-PA-852,36
Met,Met-PA-1716,11
CG6043,CG6043-PC-1928,15
exo70,exo70-PA-94,14
NK7.1,NK7.1-PA-323,1
NK7.1,NK7.1-PA-321,5
CG3907,CG3907-PA-1051,6
CG5167,CG5167-PA-1005,33
Trax,Trax-PA-109,1361
RhoGAP92B,RhoGAP92B-PA-1221,83
ATPsyn-b,ATPsyn-b-PA-612,1119
CG8243,CG8243-PA-1198,7
CG42807,CG42807-PA-81,20
LpR1,LpR1-PD-2448,4
Actn,Actn-PA-1629,5
CG11961,CG11961-PA-2355,188
cag,cag-PA-538,2
CG9153,CG9153-PA-1853,4
Rbp1-like,Rbp1-like-PB-663,18
CG9427,CG9427-PA-153,914
CG42553,CG42553-PA-975,77
regucalcin,regucalcin-PA-488,225
Rpn11,Rpn11-PA-216,49
CG12917,CG12917-PB-398,2
Rpd3,Rpd3-PA-243,22
CG3223,CG3223-PA-990,5
Klp61F,Klp61F-PA-2238,5
Wwox,Wwox-PA-207,35
toc,toc-PB-380,1
CG7922,CG7922-PA-4306,30
Pfk,Pfk-PA-1290,1
cac,cac-PA-4802,4
CG16941,CG16941-PA-1941,14
CG6805,CG6805-PA-327,25
CG13349,CG13349-PA-441,107
CG16941,CG16941-PA-1947,27
dgrn,dgrn-PA-790,1
mRpL17,mRpL17-PA-27,103
CYLD,CYLD-PB-1256,3
IntS4,IntS4-PA-2127,11
DppIII,DppIII-PB-2058,19
vir,vir-PA-5325,88
toe,toe-PA-1494,12
CG18327,CG18327-PA-124,2
grau,grau-PA-1045,5
Saf6,Saf6-PA-965,1
Baldspot,Baldspot-PA-819,6
Mo25,Mo25-PA-432,4
CG11529,CG11529-PA-489,3
eIF-4a,eIF-4a-PA-933,6165
CG10254,CG10254-PA-3990,14
mei-218,mei-218-PB-1805,5
Ent1,Ent1-PA-901,3
CG33969,CG33969-PA-1006,41
Pros28.1,Pros28.1-PA-636,148
fru,fru-PA-552,3
CG14463,CG14463-PA-457,339
sif,sif-PA-5007,2
Kr-h1,Kr-h1-PA-2203,4
ru,ru-PA-57,1
CG1888,CG1888-PA-963,71
Etl1,Etl1-PA-2289,32
Gpdh,Gpdh-PB-1045,6
CG31028,CG31028-PC-1521,7
CG5645,CG5645-PA-234,6
Spn6,Spn6-PA-1008,3
CG12375,CG12375-PA-72,2
CG11899,CG11899-PA-966,314
CG5721,CG5721-PA-550,3
CG7518,CG7518-PD-6883,4
Spn6,Spn6-PA-1002,3
CG5463,CG5463-PA-1480,2
CG6308,CG6308-PA-560,95
gp210,gp210-PA-5128,25
CycB,CycB-PA-687,288
mod(mdg4),mod(mdg4)-PH-1482,10
CG42678,CG42678-PB-687,44
Fak56D,Fak56D-PA-3072,15
Tdc1,Tdc1-PA-1240,2
lilli,lilli-PA-3622,2
CG2121,CG2121-PB-1596,1
Esyt2,Esyt2-PA-1944,1
CG6259,CG6259-PA-462,36
CG11092,CG11092-PA-2239,4
CG3065,CG3065-PA-723,7
CG4743,CG4743-PA-368,29
CG7974,CG7974-PA-699,30
ref2,ref2-PA-315,1
CG10803,CG10803-PA-1792,2
CanB2,CanB2-PA-24,6
RpL3,RpL3-PA-23,132
CG10254,CG10254-PA-1269,3
CG13343,CG13343-PA-948,52
CG6345,CG6345-PA-525,1
MED24,MED24-PA-1311,1
MED27,MED27-PA-622,38
Cyp310a1,Cyp310a1-PA-691,93
CG1620,CG1620-PA-1242,22
CG11109,CG11109-PA-677,8
CG6401,CG6401-PA-432,25
l(2)k09913,l(2)k09913-PA-681,85
CG17352,CG17352-PA-2734,4
Kr-h1,Kr-h1-PA-1966,4
SF2,SF2-PA-549,1
Gr92a,Gr92a-PA-253,1
CG31269,CG31269-PB-624,1
CG4365,CG4365-PA-678,86
bora,bora-PA-1584,22
mle,mle-PA-1867,5
CG15618,CG15618-PB-4439,1
CG6454,CG6454-PC-4020,1
SmG,SmG-PA-48,2
CG6701,CG6701-PB-3998,1
CG4238,CG4238-PD-639,3
ncd,ncd-PA-996,40
mor,mor-PA-1926,18
CG34408,CG34408-PA-3400,2
CG2608,CG2608-PA-747,8
CG7394,CG7394-PA-33,8
N,N-PA-7378,310
CG5999,CG5999-PB-109,2
CG2126,CG2126-PA-663,25
Aldh,Aldh-PA-478,19
CG7889,CG7889-PA-861,7
CG1344,CG1344-PA-1532,3
CG2852,CG2852-PA-372,263
CG18012,CG18012-PA-525,6
Aats-cys,Aats-cys-PA-165,6
enok,enok-PA-3311,1
CG13604,CG13604-PA-453,1
zfh1,zfh1-PA-1948,10
CG15814,CG15814-PA-129,6
CG7357,CG7357-PA-856,1
CG34417,CG34417-PD-7650,5
CG34133,CG34133-PB-2136,6
Tsp96F,Tsp96F-PA-294,3
Pino,Pino-PA-303,2
CG8478,CG8478-PB-1654,104
CG32226,CG32226-PA-3529,18
CG12375,CG12375-PA-459,3
dome,dome-PA-3454,1
Med,Med-PA-916,12
nrv2,nrv2-PA-639,14
Vps36,Vps36-PA-606,11
vav,vav-PA-1645,4
CG3764,CG3764-PA-1704,1
okr,okr-PA-939,6
Ptp61F,Ptp61F-PA-1515,35
CG30499,CG30499-PA-243,37
Bap55,Bap55-PA-15,9
