heph,heph-PA-990,62
CG9663,CG9663-PA-2316,1
ligatin,ligatin-PA-174,8
sowah,sowah-PD-45,3
CG31716,CG31716-PA-3120,102
Mtor,Mtor-PA-1525,1
CG13889,CG13889-PA-5596,1
mts,mts-PA-582,177
CG8611,CG8611-PA-2550,155
CG7433,CG7433-PA-616,3
Mdr49,Mdr49-PA-2689,9
CG11307,CG11307-PA-927,2
CG42506,CG42506-PA-31,1
D19B,D19B-PA-1130,1
Pepck,Pepck-PA-1776,97
CG9018,CG9018-PB-1002,104
klar,klar-PA-5715,369
CG3338,CG3338-PA-1377,19
CG30069,CG30069-PA-11836,95
CG13585,CG13585-PA-207,67
PPP4R2r,PPP4R2r-PA-1168,121
Vps26,Vps26-PA-901,247
CG42233,CG42233-PB-2299,3
poe,poe-PA-15481,1
Pgd,Pgd-PA-1011,44
Pgd,Pgd-PA-1017,57
blos1,blos1-PB-312,31
Keap1,Keap1-PA-1224,3
Karybeta3,Karybeta3-PA-2999,135
CG17082,CG17082-PA-1312,188
RhoGEF2,RhoGEF2-PD-6640,3
Nha1,Nha1-PA-1659,2
CG10809,CG10809-PA-924,21
chas,chas-PA-1333,3
Rbcn-3A,Rbcn-3A-PB-10129,65
slpr,slpr-PA-3312,118
Elp2,Elp2-PA-1996,6
Rbcn-3A,Rbcn-3A-PB-10123,27
CG42724,CG42724-PC-391,1
pod1,pod1-PA-2082,7
CG18327,CG18327-PA-324,23
CG8605,CG8605-PA-476,1
arm,arm-PA-1734,47
SdhA,SdhA-PA-1152,3
l(2)k14505,l(2)k14505-PA-736,115
jbug,jbug-PC-424,34
Prp8,Prp8-PA-2249,4
Drip,Drip-PA-55,13
CG4766,CG4766-PA-669,2
D19B,D19B-PA-1794,20
CG8108,CG8108-PA-2087,3
CG8080,CG8080-PA-675,1
pont,pont-PA-1093,1
BCL7-like,BCL7-like-PA-123,9
Rrp6,Rrp6-PB-1551,32
zip,zip-PA-3837,9
Sip1,Sip1-PA-501,95
pck,pck-PA-337,3
pck,pck-PA-330,10
mor,mor-PA-1413,18
Syx1A,Syx1A-PA-715,13
cic,cic-PA-2680,1
Pros26,Pros26-PA-273,82
CG3726,CG3726-PA-1189,6
Ddx1,Ddx1-PA-1996,2
bsk,bsk-PB-591,92
l(3)neo18,l(3)neo18-PA-121,540
mof,mof-PA-1053,1
IntS12,IntS12-PA-627,9
CG2321,CG2321-PA-1393,4
HLHm3,HLHm3-PA-142,5
mop,mop-PA-4947,2
Strn-Mlck,Strn-Mlck-PB-2175,17
CG2116,CG2116-PA-1729,115
CG12259,CG12259-PA-943,80
Dys,Dys-PA-9462,1
mtm,mtm-PA-1706,1
CG30414,CG30414-PA-719,3
SA,SA-PA-1264,3
CG3045,CG3045-PA-1362,15
CDase,CDase-PA-1638,10
Srp9,Srp9-PA-165,10
CG8801,CG8801-PA-1594,4
CG32795,CG32795-PA-942,44
CG13204,CG13204-PA-1518,25
car,car-PA-1275,5
Aats-phe,Aats-phe-PA-715,2
Capr,Capr-PA-1268,2
CG9362,CG9362-PA-217,19
Skeletor,Skeletor-PD-1626,14
CG6424,CG6424-PA-1265,2
mbl,mbl-PH-2289,1
drl,drl-PA-1735,7
Dref,Dref-PA-783,15
CG3590,CG3590-PA-1234,153
Hexo1,Hexo1-PA-977,8
CG14614,CG14614-PA-500,3
Ranbp9,Ranbp9-PA-2103,5
vls,vls-PA-1069,210
CG3281,CG3281-PA-1101,9
Cka,Cka-PA-2131,131
14-3-3zeta,14-3-3zeta-PA-643,149
Dgp-1,Dgp-1-PA-1521,1
CG7488,CG7488-PA-344,13
CG5746,CG5746-PA-124,122
Top2,Top2-PA-1554,4
mod(mdg4),mod(mdg4)-PP-1338,135
Lcch3,Lcch3-PC-972,4
CG12121,CG12121-PA-1299,29
ASPP,ASPP-PA-1683,96
Fur1,Fur1-PA-2701,2
CG2931,CG2931-PA-765,49
CG10672,CG10672-PA-382,20
nudE,nudE-PB-840,25
CG15432,CG15432-PA-249,136
Rpn2,Rpn2-PA-2334,18
CG31469,CG31469-PA-252,1
Psc,Psc-PA-2527,11
CG42574,CG42574-PA-9103,13
CG8321,CG8321-PA-600,12
CG15880,CG15880-PA-469,3
Rab-RP3,Rab-RP3-PA-627,4
pll,pll-PA-1378,3
CG4729,CG4729-PA-1086,71
fry,fry-PB-9289,6
lsn,lsn-PA-517,27
Aats-asp,Aats-asp-PA-1543,9
mthl7,mthl7-PA-349,1
Gr64a,Gr64a-PA-681,2
CG6750,CG6750-PA-606,2
p115,p115-PA-1796,7
Kmn1,Kmn1-PA-298,7
Pitslre,Pitslre-PA-2388,89
Msr-110,Msr-110-PA-1008,11
CG4098,CG4098-PA-118,1
melt,melt-PB-1831,13
sls,sls-PA-167,1
Aats-ser,Aats-ser-PA-393,9
Got2,Got2-PA-822,3
CG2118,CG2118-PA-576,202
Vap-33-1,Vap-33-1-PA-294,33
uif,uif-PA-7872,1
CG10286,CG10286-PA-1344,9
CG10178,CG10178-PA-430,10
CG34383,CG34383-PB-550,1
hth,hth-PA-1311,13
CG13531,CG13531-PB-3336,7
CG3702,CG3702-PA-1527,52
CG6443,CG6443-PA-534,23
Oda,Oda-PA-429,7
GlyP,GlyP-PA-1686,35
CG33687,CG33687-PA-440,16
CG11619,CG11619-PA-1011,2
Top3beta,Top3beta-PA-1293,2
CG9117,CG9117-PA-616,44
CG4390,CG4390-PA-87,27
CG2144,CG2144-PA-2613,1
tan,tan-PA-97,1
bif,bif-PB-3345,1000
Fas2,Fas2-PA-1543,60
CG12104,CG12104-PA-117,2
Syx13,Syx13-PA-141,10
CG12163,CG12163-PA-1539,772
CG6357,CG6357-PA-1025,21
Nap1,Nap1-PA-91,63
CG6254,CG6254-PA-759,8
mus205,mus205-PA-5859,5
CG7956,CG7956-PA-2587,2
YT521-B,YT521-B-PA-1581,9
CG9883,CG9883-PA-291,1
CG10959,CG10959-PA-460,8
CG17211,CG17211-PA-678,1
CG42354,CG42354-PA-331,2
Aldh-III,Aldh-III-PE-990,42
Hmgs,Hmgs-PA-1267,36
CG32022,CG32022-PA-306,6
rtet,rtet-PA-1185,58
spd-2,spd-2-PA-592,2
CG12581,CG12581-PA-1925,4
CG1358,CG1358-PA-280,1
