gene,fbgn,gene_transcript_start,fc3.count,fc4.count,fc5.count,fc6.count,p,q,logConc,logFC
eIF3-S8,FBgn0034258,eIF3-S8-PA-700,0,3,28,23,1.65204271369784e-10,1.97903323702976e-08,-19.0297664622505,3.8350753266449
fdl,FBgn0045063,fdl-PB-1788,26,21,76,79,1.7654557022848e-10,2.11061301347238e-08,-16.2429676645685,1.46915937719882
Gas41,FBgn0031873,Gas41-PA-162,280,315,215,238,1.79996061386527e-10,2.14751664512434e-08,-13.6382892934468,-0.645102918560235
pio,FBgn0020521,pio-PC-430,646,627,554,534,1.84632370306031e-10,2.1983908317608e-08,-12.4574537635304,-0.47931734139738
Mkp,FBgn0083992,Mkp-PA-516,97,98,57,49,1.85507586514133e-10,2.20436761455768e-08,-15.490805123844,-1.13190676317292
porin,FBgn0004363,porin-PA-338,227,276,590,505,1.90391673270902e-10,2.25786173494637e-08,-13.124183238278,0.870007301539449
D12,FBgn0027490,D12-PA-2434,220,233,169,157,1.908870902368e-10,2.25920035575249e-08,-14.0724184164485,-0.727036444078948
fra,FBgn0011592,fra-PA-4110,190,191,355,356,1.93215085307251e-10,2.28217930161512e-08,-13.6346059041965,0.647768523304884
TppII,FBgn0020370,TppII-PA-3906,4678,4123,3272,3043,1.95360354128314e-10,2.30291253375449e-08,-9.79342412900187,-0.734098690522617
l(2)k09913,FBgn0021979,l(2)k09913-PA-702,309,349,563,571,1.97936018883109e-10,2.32862657434237e-08,-12.903836394733,0.533477555333315
Sgt1,FBgn0260939,Sgt1-PA-414,126,148,89,82,2.0257452754945e-10,2.37845853837284e-08,-14.9005985602866,-0.932387364027236
Cog7,FBgn0051040,Cog7-PA-1558,45,33,113,102,2.0637893461214e-10,2.41831887308011e-08,-15.6415591059985,1.21013354811258
chico,FBgn0024248,chico-PA-2320,191,192,141,123,2.06794340890544e-10,2.41838815530966e-08,-14.3456519013046,-0.789431145246449
Pros54,FBgn0015283,Pros54-PA-903,1536,1509,1441,1353,2.0841841397978e-10,2.43256416854108e-08,-11.1480689619365,-0.377203359131252
Brd,FBgn0000216,Brd-PA-156,469,495,406,391,2.171308540499e-10,2.5292532501931e-08,-12.8827712267898,-0.526752003098505
